qubit_a,qubit_b,ecr_error,ecr_length_ns
0,1,0.007494257741828603,533.3333333333333
1,2,0.00878800548814962,533.3333333333333
2,3,0.008694694119090962,533.3333333333333
3,4,0.006986008619663198,533.3333333333333
4,15,0.007083786253391899,533.3333333333333
4,5,0.010012484974233293,533.3333333333333
5,6,1.0,533.3333333333333
6,7,1.0,533.3333333333333
7,8,0.010482138289691134,533.3333333333333
8,9,1.0,533.3333333333333
9,10,0.11735762347185197,533.3333333333333
10,11,0.005452230453107276,533.3333333333333
11,12,0.005302451341969938,533.3333333333333
12,13,0.007890752466066075,533.3333333333333
0,14,0.007844541922166715,533.3333333333333
14,18,0.008684042395406766,533.3333333333333
8,16,1.0,533.3333333333333
12,17,0.004242767028708239,590.2222222222222
17,30,0.003644678873272744,590.2222222222222
18,19,0.01586635634658362,533.3333333333333
19,20,0.004246257563143285,533.3333333333333
20,33,0.006473176599650965,533.3333333333333
20,21,0.009819558723137167,533.3333333333333
21,22,0.009597768027566289,803.5555555555555
15,22,0.0035879437665800595,590.2222222222222
22,23,0.01264413227616501,533.3333333333333
23,24,0.01994202941922424,533.3333333333333
24,25,0.008044963004075922,533.3333333333333
16,26,0.019673884817254017,533.3333333333333
25,26,0.0045228296543243784,533.3333333333333
26,27,0.017129347475543177,533.3333333333333
27,28,0.024145723386242213,533.3333333333333
28,29,0.009558194919857044,533.3333333333333
29,30,0.006250223872224014,533.3333333333333
30,31,0.010934778799582434,533.3333333333333
31,32,0.005481076764260462,533.3333333333333
32,36,0.005800345692866693,533.3333333333333
33,39,0.005484380240547981,533.3333333333333
24,34,0.013510379588167087,533.3333333333333
28,35,0.01016786934410241,533.3333333333333
35,47,0.0074491162341221995,533.3333333333333
36,51,0.005248464037138467,533.3333333333333
37,38,0.013161589746369717,533.3333333333333
38,39,0.0075004597922939675,533.3333333333333
39,40,0.004625074547017494,590.2222222222222
40,41,0.007986948615168243,533.3333333333333
41,53,0.004250114332826405,533.3333333333333
41,42,0.01080346065267418,533.3333333333333
34,43,0.012524098684695284,533.3333333333333
42,43,0.01196664015782678,533.3333333333333
43,44,0.004798048658298748,533.3333333333333
44,45,0.0094729906641004,533.3333333333333
45,46,0.023940844660705507,533.3333333333333
46,47,0.005852744931547638,533.3333333333333
47,48,0.01219428314209653,533.3333333333333
48,49,0.011890757711695621,533.3333333333333
49,50,0.00425496734572256,590.2222222222222
50,51,0.007383256179020747,341.3333333333333
37,52,0.020094463804007756,533.3333333333333
53,60,0.005432380911591206,533.3333333333333
45,54,0.008712740088968107,533.3333333333333
49,55,0.005576512033568348,533.3333333333333
52,56,1.0,881.7777777777777
56,57,1.0,768.0
57,58,0.1168008787547794,533.3333333333333
58,59,0.004645537844357506,533.3333333333333
59,60,0.0040762133584472116,533.3333333333333
60,61,0.0034699998496582896,533.3333333333333
61,62,0.005928022860568705,533.3333333333333
62,63,0.005560920749447196,533.3333333333333
63,64,0.007061466002907524,533.3333333333333
54,64,0.007470643071650518,533.3333333333333
64,65,0.006002426150621132,533.3333333333333
65,66,0.014919502282319308,533.3333333333333
66,67,0.008708478962980826,533.3333333333333
55,68,0.008617942112713162,533.3333333333333
67,68,0.005994412287236572,533.3333333333333
68,69,0.005298831301319917,533.3333333333333
69,70,0.004948298825224351,533.3333333333333
58,71,0.007731650573851945,533.3333333333333
71,77,0.006194048700752908,533.3333333333333
62,72,0.00476479620045811,533.3333333333333
66,73,0.030667210494451147,533.3333333333333
73,85,0.005326494231310763,533.3333333333333
70,74,0.004809893523418762,533.3333333333333
75,76,0.00843910434012407,533.3333333333333
76,77,0.007640191636875016,533.3333333333333
77,78,0.005451370435517244,533.3333333333333
78,79,0.006150040115171007,533.3333333333333
79,91,0.008072741155098095,533.3333333333333
79,80,0.007926923147774934,533.3333333333333
80,81,0.006087631322382991,533.3333333333333
72,81,0.008316168208496233,533.3333333333333
81,82,0.01918331990734612,533.3333333333333
82,83,0.01175172079924064,533.3333333333333
83,84,1.0,533.3333333333333
84,85,1.0,533.3333333333333
85,86,0.0099787519455099,533.3333333333333
86,87,0.007872899932032662,533.3333333333333
87,88,0.00499203865736525,533.3333333333333
74,89,0.008314014082141497,533.3333333333333
88,89,0.01117419936357733,533.3333333333333
75,90,0.024110089676432467,533.3333333333333
90,94,0.007399302038085864,533.3333333333333
83,92,0.0065173334076061296,533.3333333333333
92,102,1.0,533.3333333333333
87,93,0.009034455276413444,533.3333333333333
93,106,0.007018833327466167,533.3333333333333
94,95,0.008055712031068363,533.3333333333333
95,96,0.013084065493193742,533.3333333333333
96,97,0.008750171258798511,533.3333333333333
97,98,0.013125555666023414,533.3333333333333
91,98,0.005956035431036122,533.3333333333333
98,99,0.007279244578106581,533.3333333333333
99,100,0.007850986624725387,533.3333333333333
100,101,0.007666633104996878,533.3333333333333
101,102,0.0068023215061160935,533.3333333333333
102,103,0.006272881926972396,533.3333333333333
103,104,0.004719485107099519,533.3333333333333
104,105,0.005717805901890638,533.3333333333333
105,106,0.006178898483879536,533.3333333333333
106,107,0.00880218456405496,533.3333333333333
107,108,0.009356178106295743,533.3333333333333
96,109,0.008161909774489995,533.3333333333333
100,110,0.006290280146423299,533.3333333333333
110,118,0.006082223567653755,533.3333333333333
104,111,0.00650888298658403,533.3333333333333
108,112,0.005188887400167819,533.3333333333333
112,126,0.004596410663873007,533.3333333333333
113,114,0.00614535042181974,533.3333333333333
109,114,0.008286169744382454,533.3333333333333
114,115,0.008303754578070699,533.3333333333333
115,116,0.008535250992055654,533.3333333333333
116,117,0.012632460381000965,533.3333333333333
117,118,0.008122971041865934,533.3333333333333
118,119,0.006481655817062726,533.3333333333333
119,120,0.007618448431418123,533.3333333333333
120,121,0.005625556337999493,533.3333333333333
121,122,0.006263899696688169,533.3333333333333
111,122,0.01673895679641485,533.3333333333333
122,123,0.0048994450628166986,533.3333333333333
123,124,0.005273522356311455,533.3333333333333
124,125,0.006303480430202679,533.3333333333333
125,126,0.0046299909331848355,533.3333333333333
