qubit,T1_us,T2_us,frequency_GHz,readout_error,sx_gate_error,sx_gate_length_ns,mean_ecr_error,mean_ecr_length_ns
0,381.5685857300125,131.70442930164933,4.635649684403261,0.01123046875,0.00028775142091170115,56.888888888888886,0.007669399831997659,533.3333333333333
1,233.79089869391422,251.00498025618936,4.736288144868368,0.0244140625,0.00020148864859246516,56.888888888888886,0.008141131614989111,533.3333333333333
2,270.38813239310156,230.33227118877795,4.819183440857051,0.021484375,0.0003802746030428943,56.888888888888886,0.00874134980362029,533.3333333333333
3,328.77490279905413,333.42844078530067,4.747181100193297,0.011962890625,0.000577035572185192,56.888888888888886,0.00784035136937708,533.3333333333333
4,291.74788958364803,192.44484206910215,4.787857376094546,0.020751953125,0.0001801879540686471,56.888888888888886,0.008027426615762797,533.3333333333333
5,172.75909991425792,78.91898308667757,4.85081142700897,0.060546875,0.0008688729537230527,56.888888888888886,0.5050062424871167,533.3333333333333
6,237.40349651795418,44.44146850625187,4.8995159695414054,0.25732421875,0.0008037324209928146,56.888888888888886,1.0,533.3333333333333
7,230.52219090722951,18.17731355943345,4.755587722216813,0.0498046875,0.00037710738306666146,56.888888888888886,0.5052410691448456,533.3333333333333
8,394.1651058571488,17.282471331162924,4.812531480182586,0.088134765625,0.0005850872553505538,56.888888888888886,0.6701607127632304,533.3333333333333
9,291.84655218305363,56.346802819290396,4.637614165110824,0.16064453125,0.00026195042725953553,56.888888888888886,0.558678811735926,533.3333333333333
10,280.8509414492126,185.1516148209872,4.804399705962369,0.02734375,0.0002708651166552287,56.888888888888886,0.06140492696247962,533.3333333333333
11,413.42396616068646,96.11805358941345,4.743306219609479,0.012451171875,0.00015660387218138484,56.888888888888886,0.005377340897538607,533.3333333333333
12,418.98429111900424,259.816785867086,4.626002742235595,0.07373046875,0.0004322837303435384,56.888888888888886,0.005811990278914751,552.2962962962962
13,463.6055467163752,299.9174290100251,4.556946604873287,0.126953125,0.002009747312440877,56.888888888888886,0.007890752466066075,533.3333333333333
14,262.62408162006733,81.34298447117432,4.5100658377673035,0.042724609375,0.0002962788794068202,56.888888888888886,0.00826429215878674,533.3333333333333
15,473.318692112023,126.98098049260926,4.599058699488754,0.087158203125,0.00035573329426550915,56.888888888888886,0.0053358650099859795,561.7777777777777
16,283.4225771031612,15.498796578521109,4.937447949379478,0.102294921875,0.0012152168296067788,56.888888888888886,0.509836942408627,533.3333333333333
17,438.3571999140878,18.737652324842994,4.752782052448472,0.016845703125,0.00013134236170327825,56.888888888888886,0.003943722950990491,590.2222222222222
18,452.3250939237751,21.509071792367443,4.6593007298892175,0.054443359375,0.0005236219400574607,56.888888888888886,0.012275199370995193,533.3333333333333
19,514.8934474539833,139.37161451797604,4.820731981253027,0.037109375,0.00018096211816853987,56.888888888888886,0.010056306954863453,533.3333333333333
20,324.07470321102875,77.37102394967002,4.738270836889971,0.0390625,0.00023596188809140386,56.888888888888886,0.006846330961977139,533.3333333333333
21,339.1253964361067,25.81595576911751,4.77388875021763,0.023193359375,0.0003105421132713909,56.888888888888886,0.009708663375351728,668.4444444444443
22,352.7649082282366,247.76777163596196,4.668481450148005,0.022705078125,0.00011269029313020176,56.888888888888886,0.00860994802343712,642.3703703703703
23,110.59051310535338,17.823362341870027,4.758059286742439,0.017578125,0.000594019606317089,56.888888888888886,0.016293080847694624,533.3333333333333
24,288.29424378555774,15.119683643815149,4.611449733332977,0.031005859375,0.0003600542613605316,56.888888888888886,0.013832457337155749,533.3333333333333
25,315.9978307370036,337.9308927777685,4.731629262139991,0.019775390625,0.00021203419628435183,56.888888888888886,0.00628389632920015,533.3333333333333
26,345.77658356678427,107.61606093068156,4.777309170145577,0.00830078125,0.0001767200816354453,56.888888888888886,0.013775353982373858,533.3333333333333
27,231.67682846606266,106.3796115182858,4.680346713329204,0.015625,0.0021925943343456228,56.888888888888886,0.020637535430892695,533.3333333333333
28,222.17743196100196,63.73591943262922,4.743194390679973,0.050537109375,0.0008904928972696393,56.888888888888886,0.014623929216733889,533.3333333333333
29,365.1961901421862,152.49656047597594,4.791725563642209,0.012451171875,0.00020242161652090184,56.888888888888886,0.007904209396040529,533.3333333333333
30,402.2746995366124,357.7887552246601,4.692924906441911,0.00634765625,0.00011771088917495264,56.888888888888886,0.006943227181693064,552.2962962962962
31,158.68395883843468,35.715913693531405,5.057532799434684,0.009765625,0.0002114178242644012,56.888888888888886,0.008207927781921448,533.3333333333333
32,197.76166761218045,316.0733810884517,4.929978591104593,0.023681640625,0.00022069495201786687,56.888888888888886,0.005640711228563577,533.3333333333333
33,392.296976612917,337.54651143033016,4.677510653596865,0.0087890625,0.00013159209822075592,56.888888888888886,0.005978778420099473,533.3333333333333
34,138.246876538237,51.43932317530155,4.710466814470317,0.1044921875,0.0008517085936717451,56.888888888888886,0.013017239136431186,533.3333333333333
35,227.63957117423374,57.96574626933414,4.914514501270184,0.01171875,0.00022714230749029018,56.888888888888886,0.008808492789112304,533.3333333333333
36,267.2088890381847,72.47716803090526,4.854004318750904,0.00830078125,0.0002459024761069626,56.888888888888886,0.00552440486500258,533.3333333333333
37,340.6585237678857,35.17526011095104,4.593932734213795,0.053955078125,0.0005428149815849925,56.888888888888886,0.016628026775188737,533.3333333333333
38,483.2930068570622,116.18211758654003,4.485831561735527,0.04541015625,0.00020095549932489464,56.888888888888886,0.010331024769331842,533.3333333333333
39,445.65499545460233,109.80986380099014,4.574226982703869,0.0498046875,0.0001261203291847024,56.888888888888886,0.0058699715266198145,552.2962962962962
40,367.517545505212,310.9816164796847,4.70550794813195,0.006591796875,0.00023176497316978732,56.888888888888886,0.0063060115810928685,561.7777777777777
41,249.05308533607186,373.4303713240598,4.814540525385267,0.00927734375,0.00012843874137313165,56.888888888888886,0.007680174533556276,533.3333333333333
42,277.76249947303944,218.16100948427524,4.6547672755844935,0.03173828125,0.0006827718792873859,56.888888888888886,0.01138505040525048,533.3333333333333
43,446.2251489506623,165.75839177507913,4.755146069328635,0.0087890625,0.0002362269001245515,56.888888888888886,0.00976292916694027,533.3333333333333
44,301.305182488882,302.0203081283507,4.868097681140563,0.01025390625,0.00015238158327827525,56.888888888888886,0.007135519661199574,533.3333333333333
45,418.31590961181575,289.15847721647447,4.762839549752837,0.032470703125,0.0004647259988641664,56.888888888888886,0.014042191804591339,533.3333333333333
46,365.85876201153644,488.81489503740625,4.674057868902493,0.032470703125,0.00011930091667361597,56.888888888888886,0.014896794796126572,533.3333333333333
47,278.63036072055036,146.18068804296698,4.795123751194096,0.011962890625,0.0002917879748882379,56.888888888888886,0.008498714769255455,533.3333333333333
48,339.95000671850846,309.7308849774502,4.707257705436149,0.01904296875,0.0005893005446308559,56.888888888888886,0.012042520426896075,533.3333333333333
49,216.27588978017565,168.91013176893154,4.81079284152637,0.056640625,0.00012135698629876248,56.888888888888886,0.00724074569699551,552.2962962962962
50,324.5288017896885,198.95241211524763,4.8790055560088605,0.0341796875,0.00016701255601573098,56.888888888888886,0.005819111762371654,465.7777777777777
51,367.2186905879952,479.7632516130049,4.767361636540024,0.0087890625,0.0001415147193614018,56.888888888888886,0.006315860108079607,437.33333333333326
52,106.24371349403596,19.676619076876694,4.854930599504881,0.15380859375,0.0008203757199543352,56.888888888888886,0.5100472319020039,707.5555555555554
53,275.70164892536906,400.511104407779,4.767757054042803,0.0263671875,0.0001297774674650346,56.888888888888886,0.004841247622208805,533.3333333333333
54,210.16899498644906,61.751842730256236,4.8215825003881525,0.0419921875,0.0001871357544165243,56.888888888888886,0.008091691580309313,533.3333333333333
55,332.21334767287175,201.3966337390268,4.907503173357138,0.060302734375,0.00023699144868092323,56.888888888888886,0.007097227073140755,533.3333333333333
56,451.412243593321,10.265106699103244,4.455280719207545,0.109375,0.0005648630511596824,56.888888888888886,1.0,824.8888888888889
57,301.8929522916314,2.636993370529277,4.834682472812014,0.21728515625,0.0053679436659514745,56.888888888888886,0.5584004393773897,650.6666666666666
58,467.33682070790087,46.15485905242311,4.708860444657704,0.00927734375,0.0001871200271347546,56.888888888888886,0.04305935572432962,533.3333333333333
59,308.398214685776,320.5561005438467,4.810878372781599,0.025390625,0.0001876745180698599,56.888888888888886,0.004360875601402359,533.3333333333333
60,447.5394229268525,450.9602713509119,4.6723998256959804,0.010498046875,0.00010740467460708339,56.888888888888886,0.004326198039898903,533.3333333333333
61,299.1904681649518,360.31366503678476,4.90157344036627,0.03076171875,0.00013296945013102952,56.888888888888886,0.004699011355113497,533.3333333333333
62,300.13816873697874,302.0747589025255,4.771213609783753,0.012451171875,0.007759868622011554,56.888888888888886,0.0054179132701580035,533.3333333333333
63,247.57678885353963,128.2163182776955,4.994843241053946,0.036865234375,0.00024792803660062044,56.888888888888886,0.00631119337617736,533.3333333333333
